"","gene_id","gene_name"
"522","ENSMUSG00000100364","1700121L16Rik"
"523","ENSMUSG00000092066","1700121N20Rik"
"524","ENSMUSG00000101409","1700122D07Rik"
"525","ENSMUSG00000087685","1700122E12Rik"
"526","ENSMUSG00000094928","1700122O11Rik"
"527","ENSMUSG00000024786","1700123I01Rik"
"528","ENSMUSG00000029526","1700123K08Rik"
"529","ENSMUSG00000072878","1700123L14Rik"
"530","ENSMUSG00000085614","1700123M08Rik"
"531","ENSMUSG00000086080","1700123O12Rik"
"532","ENSMUSG00000040822","1700123O20Rik"
"533","ENSMUSG00000101481","1700123O21Rik"
"534","ENSMUSG00000099354","1700124L16Rik"
"535","ENSMUSG00000085263","1700125G02Rik"
"536","ENSMUSG00000097584","1700125G22Rik"
"537","ENSMUSG00000085197","1700125H03Rik"
"538","ENSMUSG00000018479","1700125H20Rik"
"539","ENSMUSG00000099945","1700126A01Rik"
"540","ENSMUSG00000102086","1700126H18Rik"
"541","ENSMUSG00000099794","1700128A07Rik"
"542","ENSMUSG00000031510","1700128E19Rik"
"543","ENSMUSG00000031998","1700128F08Rik"
"544","ENSMUSG00000021977","1700129C05Rik"
"545","ENSMUSG00000100603","1700129L04Rik"
"546","ENSMUSG00000100182","1810006J02Rik"
"547","ENSMUSG00000100844","1810007C17Rik"
"548","ENSMUSG00000100001","1810007D17Rik"
"549","ENSMUSG00000089745","1810008B01Rik"
"550","ENSMUSG00000100094","1810008I18Rik"
"551","ENSMUSG00000071653","1810009A15Rik"
"552","ENSMUSG00000094808","1810009J06Rik"
"553","ENSMUSG00000078607","1810010H24Rik"
"554","ENSMUSG00000056329","1810010K12Rik"
"555","ENSMUSG00000041707","1810011H11Rik"
"556","ENSMUSG00000056313","1810011O10Rik"
"557","ENSMUSG00000087595","1810012K08Rik"
"558","ENSMUSG00000099825","1810012K16Rik"
